"Study ID","Age [year(s)]","Body Weight [kg]","Predicted AUC [µg*h/l]","Observed AUC [µg*h/l]","Pred/Obs AUC Ratio"
"den Hollander 1992",0.92,6.5000000539974,347.141576156616,351.666666666667,0.98713244404725
"den Hollander 1992",0.83,6.40000004062097,352.311425582886,233.333333333333,1.50990610964094
"den Hollander 1992",0.99,8.499999976988,376.37618170166,330,1.14053388394442
"den Hollander 1992",0.3,5.09999999628858,469.360911712646,308.333333333333,1.52225160555453
"den Hollander 1992",0.92,6.14900001401766,296.55557510376,265,1.11907764190098
"den Hollander 1992",1.3,10.4000000597027,353.856602119446,405,0.8737200052332
"den Hollander 1992",9,25.5999999788031,323.355989364624,188.333333333333,1.71693445680331
"den Hollander 1992",3.5,14.3999998378558,314.58749848938,310,1.01479838222381
"den Hollander 1992",5.5,19.4999998525129,315.140328964233,345,0.913450228881836
"den Hollander 1992",3.5,18.5000000163688,341.380683265686,378.333333333333,0.902327797178025
"Meistelman 1987",4.7,19.9999999781636,68.1878694133759,98.0392166666667,0.695516261061271
"Meistelman 1987",5.5,20.0000000226064,63.1888198699951,56.4971833333333,1.11844194952483
"Meistelman 1987",7.7,23.00000008216,62.8961184310913,40.16065,1.56611305920326
"Meistelman 1987",4.5,13.9999999621423,54.2056920862198,72.4637666666667,0.748038565750604
"Meistelman 1987",4.8,24.0000000937933,80.6065151252746,90.0900833333333,0.894732384995477
"Meistelman 1987",4.5,20.0000000151652,69.907348028183,69.44445,1.00666573107258
"Meistelman 1987",6.2,23.0000001091234,68.4647348384857,75.7575833333333,0.903734409494571
"Meistelman 1987",4.9,22.0000000168297,72.9859035358429,123.456783333333,0.591185851155549
